n_gen|n_ind|mutate_rate,it,gen,best
20|20|0.02,6,15,276
20|20|0.02,6,16,276
20|20|0.02,6,17,276
20|20|0.02,6,18,276
20|20|0.02,6,19,276
20|20|0.02,7,0,265
20|20|0.02,7,1,277
20|20|0.02,7,2,277
20|20|0.02,7,3,277
20|20|0.02,7,4,277
20|20|0.02,7,5,277
20|20|0.02,7,6,277
20|20|0.02,7,7,277
20|20|0.02,7,8,277
20|20|0.02,7,9,277
20|20|0.02,7,10,277
20|20|0.02,7,11,277
20|20|0.02,7,12,277
20|20|0.02,7,13,277
20|20|0.02,7,14,277
20|20|0.02,7,15,277
20|20|0.02,7,16,277
20|20|0.02,7,17,277
20|20|0.02,7,18,277
20|20|0.02,7,19,277
20|20|0.02,8,0,236
20|20|0.02,8,1,236
20|20|0.02,8,2,244
20|20|0.02,8,3,244
20|20|0.02,8,4,244
20|20|0.02,8,5,244
20|20|0.02,8,6,244
20|20|0.02,8,7,244
20|20|0.02,8,8,244
20|20|0.02,8,9,244
20|20|0.02,8,10,244
20|20|0.02,8,11,244
20|20|0.02,8,12,244
20|20|0.02,8,13,244
20|20|0.02,8,14,244
20|20|0.02,8,15,244
20|20|0.02,8,16,244
20|20|0.02,8,17,244
20|20|0.02,8,18,244
20|20|0.02,8,19,244
20|20|0.02,9,0,178
20|20|0.02,9,1,213
20|20|0.02,9,2,213
20|20|0.02,9,3,213
20|20|0.02,9,4,270
20|20|0.02,9,5,270
20|20|0.02,9,6,270
20|20|0.02,9,7,270
20|20|0.02,9,8,270
20|20|0.02,9,9,270
20|20|0.02,9,10,270
20|20|0.02,9,11,270
20|20|0.02,9,12,270
20|20|0.02,9,13,270
20|20|0.02,9,14,270
20|20|0.02,9,15,270
20|20|0.02,9,16,270
20|20|0.02,9,17,270
20|20|0.02,9,18,270
20|20|0.02,9,19,270
20|20|0.03,0,0,241
20|20|0.03,0,1,241
20|20|0.03,0,2,244
20|20|0.03,0,3,247
20|20|0.03,0,4,247
20|20|0.03,0,5,247
20|20|0.03,0,6,247
